ID,original_language,good_diacritic,good_sentence_raw,good_sentence,good_translation,good_source,good_page,good_num,bad_diacritic,bad_sentence_raw,bad_sentence,bad_translation,bad_source,bad_page,bad_num,phenomenon,paradigm
542,ind,g,Buku yang John beli itu menarik.,Buku yang John beli itu menarik.,That book that John bought is interesting.,Postman 2002,200,113,*,Buku yang John membeli itu menarik.,Buku yang John membeli itu menarik.,That book that John bought is interesting.,Postman 2002,200,113,Filler-gap,relative clause
545,ind,g,Buku itu sudah dibaca oleh dia.,Buku itu sudah dibaca oleh dia.,That book has already been read by him/her.,Postman 2002,271,49,*,Buku itu sudah dibaca oleh kamu.,Buku itu sudah dibaca oleh awak.,That book has already been read by you.,Postman 2002,271,49,Verbal Agreement,person constraint
547,ind,g,Boleh pergi kamu.,Boleh pergi kamu.,You may go.,Vamarasi 1999,11,2.7,*,Boleh pergi mu.,Boleh pergi mu.,You may go.,Vamarasi 1999,11,2.8,Misc./Unknown,pronoun
548,ind,g,Siapa yang membeli rumah anda?,Siapa yang membeli rumah awak?,Who bought your house?,Vamarasi 1999,12,2.16,*,Apa yang orang itu membeli?,Apa yang orang itu membeli?,What did that person buy?,Vamarasi 1999,12,2.17,Filler-gap,relative clause
549,ind,g,Saya mengirim buku-buku kepada teman.,Saya menghantar buku kepada kawan.,I sent books to a friend.,Vamarasi 1999,14,2.32,*,Saya mengirim kepada teman buku-buku.,Saya menghantar kepada kawan buku-buku.,I sent books to a friend.,Vamarasi 1999,14,2.33,Argument Structure,scrambling
550,ind,g,Dia membuka tasnya untuk polisi.,Dia membuka begnya untuk polis.,He opened his case for the police.,Vamarasi 1999,14,2.34,*,Dia membuka untuk polisi tasnya .,Dia membuka untuk polis begnya.,He opened his case for the police.,Vamarasi 1999,14,2.35,Argument Structure,scrambling
41,ind,g,Buku yang saya belikan untuk adik saya ada di atas meja itu.,Buku yang saya belikan untuk adik saya ada di atas meja itu.,The book that I bought for my brother is on the table.,Cole & Hermon 2005,79,63c,*,Buku yang saya belikan adik saya ada di atas meja itu.,Buku yang saya belikan adik saya ada di atas meja itu.,The book that I bought my brother is on the table.,Cole & Hermon 2005,79,63d,Filler-gap,relative clause
43,ind,g,Saya menulis surat kepada ibu saya.,Saya menulis surat kepada ibu saya.,I wrote a letter to my mother.,Cole & Hermon 2005,79,64a,*,Saya menulisi surat kepada ibu saya.,Saya menulisi surat kepada ibu saya.,I wrote a letter to my mother.,Cole & Hermon 2005,79,64a,Argument Structure,applicative
2248,ind,g,Budi memiliki seekor sapi.,Budi memiliki seekor lembu.,Budi has a cow.,Kadaryanto 2010,8,5b,*,Budi memiliki sesapi.,Budi memiliki selembu.,Budi has a cow.,Kadaryanto 2010,8,5b,Quantifiers,classifier
1584,ind,g,Ayah coba make obat.,Ayah cuba pakai ubat.,Father tried to use medicine.,Arka 2021,187,10a,*,Ayah coba obat pakai oleh.,Ayah cuba ubat pakai oleh.,nan,Arka 2021,187,10b,Control/Raising,subject control
51,zsm,g,Dari jauh datang seorang lelaki tinggi.,Dari jauh datang seorang lelaki tinggi.,From a distance came a tall man.,Soh & Nomoto 2011,83,15b,*,Ke pasar pergi seorang lelaki tinggi.,Ke pasar pergi seorang lelaki tinggi.,A tall man went to a market.,Soh & Nomoto 2011,84,16b,Argument Structure,transitivity
2249,ind,g,Sebentar kemudian datang seorang bocah pekerja membawakan dua buah topi bambu.,Seketika kemudian datang seorang pekerja muda membawa dua buah topi.,In a moment a peddler boy came [and] took two hats.,Kadaryanto 2010 (adapted),29,26a,*,Sebentar kemudian datang sebocah pekerja membawakan dua buah topi bambu.,Seketika kemudian datang sepekerja muda membawa dua buah topi.,In a moment a peddler boy came [and] took two hats.,Kadaryanto 2010 (adapted),29,26a,Quantifiers,classifier
1589,ind,g,Nasi pun dia akan curi.,Beras pun dia akan curi.,"Even rice, s/he would also steal (it).",Arka 2021,187,14b,*,Nasi pun dia akan nyuri.,Beras pun dia akan nyuri.,"Even rice, s/he would also steal (it).",Arka 2021,187,14a,Morphology,inflection
1590,ind,g,"Wanita itu, dia yang memukulnya.","Wanita itu, dia yang memukulnya.","That woman, he is the one who hit her.",Arka 2021,188,15,?,"Wanita itu, dia yang mukulnya.","Wanita itu, dia yang mukulnya.","That woman, he is the one who hit her.",Arka 2021,188,15,Morphology,voice
1599,ind,g,Dia mencuci sayurnya.,Dia membasuh sayurnya.,(S)he washes his/her vegetables.,Beavers & Udayana 2022,63,25a,*,Dia bercuci sayurnya.,Dia berbasuh sayurnya.,(S)he washes his/her vegetables.,Beavers & Udayana 2022,63,25b,Argument Structure,transitivity
1090,ind,g,Angin meniup apa?,Angin meniup apa?,What did the wind blow?,Sukarno 2003,277,45a,*,Angin sedang bertiup apa?,Angin sedang bertiup apa?,What is the wind blowing?,Sukarno 2003,277,44a,Argument Structure,aspect
588,ind,g,Bacalah buku itu!,Bacalah buku itu!,Read that book!,Vamarasi 1999,64,4.69a,*,Bacanyalah!,Bacanyalah!,Read it!,Vamarasi 1999,64,4.72a,Misc./Unknown,pronoun
1102,ind,g,Semua orang akan disambut dengan pintu terbuka.,Semua orang akan disambut dengan pintu terbuka.,All will be welcomed with an open door.,Sukarno 2003,283,57a,*,Semua orang akan disambut dengan pintu dibuat.,Semua orang akan disambut dengan pintu dibuka.,All will be welcomed with an opened door.,Sukarno 2003,283,57b,Nominal Structure,modifier
1103,ind,g,Para pemberontak akan disambut dengan tangan terbuka.,Pemberontak akan disambut dengan tangan terbuka.,The rebels will be welcomed with open arms.,Sukarno 2003,283,57c,*,Para pemberontak akan disambut dengan tangan dibuka.,Pemberontak akan disambut dengan tangn dibuka.,The rebels will be welcomed with opened arms.,Sukarno 2003,283,57d,Nominal Structure,modifier
1104,ind,g,Salju menutupi Mt Ruapehu.,Salji meliputi Gunung Ruapehu.,Snow covers Mt. Ruapehu.,Sukarno 2003,285,61a,*,Salju menutup Mt Ruapehu.,Salji meliput Gunung Ruapehu.,Snow covers Mt. Ruapehu.,Sukarno 2003,284,60a,Argument Structure,internal argument
601,ind,g,Dia menyanyi untuk pacarnya.,Dia menyanyi untuk teman wanitanya.,He sang for his girlfriend.,Vamarasi 1999,76,7.16a,*,Dia menyanyikan pacarnya.,Dia menyanyikan teman wanitanya.,He sang for his girlfriend.,Vamarasi 1999,76,7.16b,Argument Structure,applicative
91,ind,g,"Ali berdansa dengan Fatimah kemarin, tapi saya tidak ingat siapa lagi.","Ali menari dengan Fatimah semalam, tapi saya tak ingat siapa lagi.","Ali danced with Fatimah yesterday, but I don't remember who else.",Sato 2011,348,18a,?,"Ali berdansa dengan Fatimah kemarin, tapi saya tidak ingat siapa itu lagi.","Ali menari dengan Fatimah semalam, tapi saya tak ingat siapa itu lagi.","*Ali danced with Fatimah yesterday, but I don't remember who else it was.",Sato 2011,348,18b,Ellipsis,sluicing
1116,ind,g,Berita itu menyedihkan ibu.,Berita itu menyedihkan ibu.,The news saddened mother.,Sukarno 2003,290,70a,*,Berita itu menyedihi ibu.,Beritu itu menyedihi ibu.,The news saddened mother.,Sukarno 2003,290,71a,Morphology,causativization
611,ind,g,Dia menulisi dinding dengan namanya. ,Dia menulisi dinding dengan namanya.,He wrote his name on the wall.,Vamarasi 1999,84,5.50b,*,Dia menulisi dinding namanya.,Dia menulisi dinding namanya.,He wrote his name on the wall.,Vamarasi 1999,84,5.52,Argument Structure,applicative
1125,ind,g,Suara Maria sangat menyenangkan John.,Suara Maria sangat menyenangkan John.,Maria's voice pleases John very much.,Sukarno 2003,291,73a,*,Suara Maria sangat menyenangi John.,Suara Maria sangat menyenangi John.,Maria's voice pleases John very much.,Sukarno 2003,291,74,Morphology,causativization
608,ind,g,Mia memberikan dirinya pada laki-laki itu.,Mia menyerahkan dirinya kepada lelaki itu.,Mia gave herself to that man.,Vamarasi 1999,80,5.36a,*,Mia memberi laki-laki itu dirinya. ,Mia menyerahkan lelaki itu dirinya.,Mia gave the man herself.,Vamarasi 1999,80,5.36b,Binding,anaphor
1121,ind,g,Suaranya menakutkan anak-anak.,Suaranya menakutkan kanak-kanak.,His voice scared the children.,Sukarno 2003,290,70b,*,Anak-anak ditakutkan suaranya.,Kanak-kanak ditakutkan suaranya.,The children were scared by his voice.,Sukarno 2003,291,72b,Argument Structure,animacy
621,ind,g,Alilah yang kematian anak.,Alilah yang kematian anak.,It is Ali whose child died (on him).,Vamarasi 1999,100,6.21,*,Anaknyalah yang Ali kematian.,Anaknyalah yang Ali kematian.,It was his child that died on Ali.,Vamarasi 1999,100,6.27,Filler-gap,cleft
629,ind,g,Saya menganggap bahwa dia bodoh.,Saya menganggap bahawa dia bodoh.,I consider that he is a fool.,Vamarasi 1999,123,7.5a,*,Saya menganggap dia bahwa bodoh.,Saya menganggap dia bahawa bodoh.,I consider him (to be) a fool.,Vamarasi 1999,123,7.7,Misc./Unknown,verbal structure
631,ind,g,Saya pikir bahwa orang itu telah melakukan kesalahan.,Saya fikir bahawa orang itu telah melakukan kesalahan.,I think that that person has made a mistake.,Vamarasi 1999,123,7.6a,*,Saya pikir orang itu bahwa telah melakukan kesalahan.,Saya fikir orang itu bahawa telah melakukan kesalahan.,I think that person to have made a mistake.,Vamarasi 1999,124,7.8,Misc./Unknown,verbal structure
633,ind,g,Saya mengira mereka saling mencium.,Saya menyangka mereka saling bercium.,I thought them to have kissed (each other).,Vamarasi 1999,127,7.21a,*,Mereka mengira saya saling mencium.,Mereka menyangka saya saling bercium.,They thought me to have kissed each other.,Vamarasi 1999,127,7.21b,Binding,reciprocal
638,ind,g,Ia mengijinkan kami supaya kami berbicara.,Dia mengizinkan supaya kami bercakap.,He permitted (that) I speak.,Vamarasi 1999 (adapted),138,8.7a,*,Ia mengijinkan kami supaya kami telah berbicara.,Dia mengizinkan kami supaya kami telah bercakap.,He permitted (that) we have spoken.,Vamarasi 1999,138,8.11,Control/Raising,complementation
639,ind,g,Ia mengijinkan kami untuk berbicara.,Dia mengizinkan kami untuk bercakap.,He permitted us to speak.,Vamarasi 1999 (adapted),138,8.7b,*,Ia mengijinkan kami untuk telah berbicara.,Dia mengizinkan kami untuk telah bercakap.,He permitted us to have spoken.,Vamarasi 1999,138,8.9,Control/Raising,object control
643,ind,g,Ia memaksa saya untuk mengambilnya.,Dia memaksa saya untuk mengambilnya.,He forced me to take it.,constructed,nan,nan,*,Ia memaksa itu untuk saya mengambilnya. ,Dia memaksa itu untuk saya mengambilnya.,He forced that for me to take it.,Vamarasi 1999,140,8.23,Control/Raising,object control
644,ind,g,Ia memaksa saya untuk mengambilnya.,Dia memaksa saya untuk mengambilnya.,He forced me to take it.,constructed,nan,nan,*,Ia memaksa itu untuk saya mengambil.,Dia memaksa itu untuk saya mengambilnya.,He forced that for me to take.,Vamarasi 1999,140,8.23,Control/Raising,object control
2285,zsm,g,Dia tidak tahu langsung tentang selok belok perniagaan.,Dia tidak tahu langsung tentang selok-belok perniagaan.,He does not know anything about the ins and outs of business.,Zoraida 2006,74,11b,*,Dia tahu langsung tentang selok belok perniagaan.,Dia tahu langsung tentang selok-belok perniagaan.,He knows anything about the ins and outs of business.,Zoraida 2006,74,11e,NPI Licensing,NPI
1175,ind,g,Tolong jatuhkan bola itu.,Tolong jatuhkan bola itu.,Please drop the ball!,Sukarno 2003,317,121a,*,Tolong menjatuhkan bola itu.,Tolong menjatuhkan bola itu.,Please drop the ball!,Sukarno 2003,317,121b,Morphology,voice
670,ind,g,Saya menyukai anak lelaki itu.,Saya menyukai anak lelaki itu.,I like that person.,constructed,nan,nan,*,Saya menyuka anak lelaki itu.,Saya menyuka anak lelaki itu.,I like that boy.,Vamarasi 1999,147,8.45b,Argument Structure,applicative
671,ind,g,Dia suka baju itu.,Dia suka baju itu.,He likes the clothes.,constructed,nan,nan,*,Dia sukanya.,Dia sukanya.,He likes it/him.,Vamarasi 1999,147,8.46b,Misc./Unknown,pronoun
162,zsm,g,Saya dapat membeli tiket itu.,Saya dapat membeli tiket itu.,I got (managed) to buy the ticket.,Soh & Nomoto 2014,170,56a,*,Saya mendapat membeli tiket itu.,Saya mendapat membeli tiket itu.,I got (managed) to buy the ticket.,Soh & Nomoto 2014,170,56b,Morphology,part of speech
675,ind,g,Perawat hendak memandikannya.,Jururawat hendak memandikannya.,The nurse wanted to bathe him.,Vamarasi 1999,149,8.52,*,Perawat hendak akan memandikannya.,Jururawat hendak akan memandikannya.,The nurse wants to will bathe him.,Vamarasi 1999,152,8.77,Control/Raising,complementation
164,zsm,g,Tiket itu dapat dibeli.,Tiket itu dapat dibeli.,The ticket got bought.,Soh & Nomoto 2014,170,57a,*,Tiket itu mendapat dibeli.,Tiket itu mendapat dibeli.,The ticket got bought.,Soh & Nomoto 2014,170,57b,Morphology,part of speech
1194,ind,g,Buku itu sudah saya baca.,Buku itu sudah saya baca.,That book has been read by me.,Sukarno 2003,338,159a,*,Buku itu saya sudah membaca.,Buku itu saya sudah membaca.,That book has been read by me.,Sukarno 2003,338,159b,Argument Structure,passive
170,ind,g,Siti pikir Tono membeli buku di toko buku.,Siti fikir Tono membeli buku di kedai buku.,Siti thinks Tono bought a book at the book store.,"Cole, Hermon & Yanti 2008",1505,7,*,"Buku, Siti pikir Tono membeli di toko buku.","Buku, Siti fikir Tono membeli di kedai buku.","A book, Siti thinks Tono bought at the book store.","Cole, Hermon & Yanti 2008",1505,9,Filler-gap,topicalization
685,ind,g,Niko mau dibuatkan kue oleh anaknya.,Niko mahu dibuatkan kuih oleh anaknya.,Niko wants to be made a cake by his child.,Vamarasi 1999,151,8.66,*,Niko mau anaknya membuatkan kue untuk.,Niko mahu anaknya membuatkan kuih untuk.,Niko wants his child to make a cake for (him).,Vamarasi 1999,150,8.62,Control/Raising,subject control
2224,ind,g,Ada dua naskhah majalah di atas meja.,Ada dua naskhah majalah di atas meja.,There are two magazines on the table.,Nomoto 2013,114,31,*,Ada dua naskhah majalah itu di atas meja.,Ada dua naskhah majalah itu di atas meja.,There are the two magazines on the table.,Nomoto 2013,114,31,Argument Structure,internal argument
689,ind,g,Dia pergi untuk bisa bermain.,Dia pergi untuk dapat bermain.,He went to be able to play.,Vamarasi 1999,155,8.92,*,Dia pergi untuk sudah bermain.,Dia pergi untuk sudah bermain.,He went to be able already play.,Vamarasi 1999,155,8.92,Control/Raising,complementation
2225,zsm,g,Saya ingin membeli sebuah buku.,Saya ingin membeli sebuah buku.,I want to buy a book.,constructed,nan,nan,*,Saya ingin membeli buah buku.,Saya ingin membeli buah buku.,I want to buy a book.,Nomoto & Soh 2019,490,40,Quantifiers,classifier
2227,zsm,g,Dia juga nak ke sana.,Dia juga nak ke sana.,S/he also want to go there.,Nomoto & Soh 2019,498,67a,*,Dia juga nak ke.,Dia juga nak ke.,S/he also want to go there.,Nomoto & Soh 2019,498,67a,Ellipsis,nominal ellipsis
2228,zsm,g,Ali tidak suka pada mereka.,Ali tidak suka pada mereka.,Ali doesn't like them.,Nomoto & Soh 2019,498,67b,*,Ali tidak suka pada.,Ali tidak suka pada.,Ali doesn't like them.,Nomoto & Soh 2019,498,67b,Ellipsis,nominal ellipsis
1205,ind,g,Esti membeli buku di mana?,Esti membeli buku di mana?,Where did Esti buy a book?,Sato & Yuliani 2008,284,33c,*,Esti membeli buku bagaimana? ,Esti membeli buku bagaimana?,How did Esti buy a book?,Sato & Yuliani 2008,284,33d,Filler-gap,wh- question
184,ind,g,Kami tidak akan membaca buku ini.,Kami tidak akan membaca buku ini.,We will not read this book.,"Cole, Hermon & Yanti 2008",1512,38,*,Tidak akan kami membaca buku ini.,Tidak akan kami membaca buku ini.,We will not read this book.,"Cole, Hermon & Yanti 2008",1512,39,Misc./Unknown,verbal structure
2234,zsm,g,Dia ada tiga buah buku.,Dia ada tiga buah buku.,Sha has three books.,Carson 2000,7,15,*,Dia ada tiga buah buku-buku.,Dia ada tiga buah buku-buku.,Sha has three books.,Carson 2000,7,16,Morphology,inflection
1212,zsm,g,Saya tahu namanya.,Saya tahu namanya.,I know his/her name.,Soh 2013,162,9a,*,Saya mengetahu namanya.,Saya mengetahu namanya.,I know his/her name.,Soh 2013,162,9b,Argument Structure,aspect
2236,zsm,g,Tiga ekor kuda panas.,Tiga ekor kuda itu demam.,The three horses have a fever.,Carson 2000 (adapted),13,27,*,Tiga kuda panas.,Tiga kuda itu demam.,The three horses have a fever.,Carson 2000 (adapted),13,26,Quantifiers,classifier
2238,zsm,g,Budak-budak itu memetik tiga buah rambutan.,Budak-budak itu memetik tiga biji rambutan.,The children are picking three rambutan fruits.,Carson 2000,37,41,*,Budak-budak itu memetik tiga buah-buah rambutan.,Budak-budak itu memetik tiga biji-biji rambutan.,The children are picking three rambutan fruits.,Carson 2000,37,42,Quantifiers,classifier
703,ind,g,Buku itu saya baca.,Buku itu saya baca.,"The book, I read.",Arka & Manning 1998,2,3a,*,Buku itu dibacaku.,Buku iti dibacaku.,I read the book.,Arka & Manning 1998,2,4a,Verbal Agreement,person constraint
2233,zsm,g,Budak-budak itu telah menerima empat buah hadiah.,Budak-budak itu telah menerima empat buah hadiah.,The children received four prizes.,Carson 2000,6,12,*,Budak-budak itu telah menerima empat buah-buah hadiah.,Budak-budak itu telah menerima empat buah-buah hadiah.,The children received four prizes.,Carson 2000,6,13,Quantifiers,classifier
2241,zsm,g,Saya pergi ke kedai untuk membeli lima helai sarung.,Saya pergi ke kedai untuk membeli lima helai sarung.,I'm going to the shop to buy five sarongs.,Carson 2000,89,15,*,Saya pergi ke kedai untuk membeli lima buah sarung.,Saya pergi ke kedai untuk membeli lima buah sarung.,I'm going to the shop to buy five sarongs.,Carson 2000,89,16,Quantifiers,classifier
2242,zsm,g,Ali menjual kereta sendiri.,Ali menjual kereta sendiri.,Ali sold his own car.,Nomoto 2015 (adapted),226,17,*,Ali menjual kereta saya sendiri.,Ali menjual kereta saya sendiri.,Ali sold my own car.,Nomoto 2015,226,19,Morphology,reflexive
707,ind,g,Saya yang menyerahkan diri saya ke polisi.,Saya yang menyerahkan diri saya ke polis.,It is me who surrendered myself to the police.,Arka & Manning 1998,3,5b,*,Diri saya yang saya menyerahkan ke polisi.,Diri saya yang saya menyerahkan ke polis.,It is myself that I surrendered to the police.,Arka & Manning 1998,3,5c,Binding,anaphor
2244,zsm,g,Ahmad fikir dirinya sendiri akan pergi ke KL besok.,Ahmad fikir dirinya sendiri akan pergi ke KL besok.,Ahmad thinks he himself will go to KL tomorrow.,Nomoto 2011,8,25a,*,Ahmad fikir diri akan pergi ke KL besok.,Ahmad fikir diri akan pergi ke KL besok.,Ahmad thinks he himself will go to KL tomorrow.,Nomoto 2011,8,25a,Morphology,reflexive
2245,zsm,g,Ahmad fikir dirinya sendiri akan pergi ke KL besok.,Ahmad fikir dirinya sendiri akan pergi ke KL besok.,Ahmad thinks he himself will go to KL tomorrow.,Nomoto 2011,8,25a,*,Ahmad fikir diri sendiri akan pergi ke KL besok.,Ahmad fikir diri sendiri akan pergi ke KL besok.,Ahmad thinks he himself will go to KL tomorrow.,Nomoto 2011,8,25a,Binding,anaphor
2246,zsm,g,Ali memukul dirinya.,Ali memukul dirinya.,Ali hit himself.,Nomoto 2011,8,25b,*,Ali memukul diri.,Ali memukul diri.,Ali hit himself.,Nomoto 2011,8,25b,Binding,anaphor
711,ind,g,Dirinya yang dia ajukan sebagai calon.,Dirinya yang dia ajukan sebagai calon.,It is himself that he nominated as a candidate.,Arka & Manning 1998,4,7a,??,Dirinya yang diajukan sebagai calon olehnya.,Dirinya yang diajukan sebagai calon olehnya.,It is himself that is nominated as a candidate by him/her.,Arka & Manning 1998,4,7b,Filler-gap,cleft
709,ind,g,Amir menyerahkan dirinya ke polisi.,Amir menyerahkan dirinya ke polis.,Amir surrendered himself to the police.,constructed,nan,nan,?*,Dirinya diserahkan ke polisi oleh Amir.,Dirinya diserahkan ke polis oleh Amir.,Himself was surrendered to the police by Amir.,Arka & Manning 1998,4,6a,Binding,anaphor
710,ind,g,Dirinya yang Amir ajukan sebagai calon.,Dirinya yang Amir ajukan sebagai calon.,It is himself that Amir nominated as a candidate.,Arka & Manning 1998 (adapted),4,7a,??,Dirinya diajukan sebagai calon oleh Amir.,Dirinya diajukan sebagai calon oleh Amir.,Self was nominated as a candidate.,Arka & Manning 1998,4,6b,Binding,anaphor
708,ind,g,Saya menyerahkan diri saya ke polisi.,Saya menyerahkan diri saya ke polis.,I surrendered myself to the police.,Arka & Manning 1998,3,5a,*,Diri saya menyerahkan saya ke polisi.,Diri saya menyerahkan saya ke polis.,Myself surrendered I to the police.,Arka & Manning 1998,3,5e,Binding,anaphor
2251,ind,g,Kemarin Budi meminjam buku kamu. Sekarang bukunya ada pada John.,Semalam Budi meminjam buku awak. Sekarang buku itu ada pada John.,"Yesterday Budi borrowed the book of yours. Now, the book is with John.",Kadaryanto 2010,40,42a,*,Kemarin Budi meminjam buku kamu. Sekarang buku ada pada John.,Semalam Budi meminjam buku awak. Sekarang buku ada pada John.,"Yesterday Budi borrowed the book of yours. Now, the book is with John.",Kadaryanto 2010,40,42a,Nominal Structure,modifier
712,ind,g,Dirinya yang dia ajukan sebagai calon.,Dirinya yang dia ajukan sebagai calon.,It is himself that he nominated as a candidate.,Arka & Manning 1998,4,7a,??,Dirinya yang diajukan sebagai calon oleh dia.,Dirinya yang diajukan sebagai calon oleh dia.,It is himself that is nominated as a candidate by him/her.,Arka & Manning 1998,4,7b,Binding,anaphor
1228,ind,g,Penolakan adalah perbuatan menolak.,Penolakan adalah perbuatan menolak.,Refusal means the action of refusing.,Grangé 2015,153,58,*,Ditolaknya adalah perbuatan menolak.,Ditolaknya adalah perbuatan menolak.,The fact that is refused means…,Grangé 2015 (adapted),153,59,Morphology,nominalization
1233,ind,g,Menurunnya Rupiah merugikan ekonomi Indonesia.,Menurunnya Rupiah merugikan ekonomi Indonesia.,The fact that Rupiah falls harms the Indonesian economy.,Grangé 2015,162,81,*,Bahwa Rupiah menurun merugikan ekonomi Indonesia.,Bahawa Rupiah menurun merugikan ekonomi Indonesia.,That Rupiah falls harms the Indonesian economy.,Grangé 2015,162,80,Morphology,nominalization
722,ind,g,Dirinya yang dia serahkan ke polisi.,Dirinya yang dia serahkan ke polis.,It is herself/himself that (s)he surrendered to the police.,Arka & Manning 1998 (adapted),7,17c,*,Dirinya yang dia menyerahkan ke polisi.,Dirinya yang dia menyerahkan ke polis.,It is herself/himself that (s)he surrendered to the police.,Arka & Manning 1998,7,18b,Filler-gap,cleft
